year;month;param1;param2;param3;param4;param5;sel_type;fleet_segment
2040;Mar;300;150;150;;;6;Fleet1
2040;Apr;300;150;150;;;6;Fleet1
2040;May;300;150;150;;;6;Fleet1
2040;Jun;300;150;150;;;6;Fleet1
2040;Jul;300;150;150;;;6;Fleet1
2040;Aug;300;150;150;;;6;Fleet1
2040;Set;300;150;150;;;6;Fleet1
2040;Oct;300;150;150;;;6;Fleet1
2040;Nov;300;150;150;;;6;Fleet1
2040;Dec;300;150;150;;;6;Fleet1
2041;Jan;300;150;150;;;6;Fleet1
2041;Feb;300;150;150;;;6;Fleet1
2041;Mar;300;150;150;;;6;Fleet1
2041;Apr;300;150;150;;;6;Fleet1
2041;May;300;150;150;;;6;Fleet1
2041;Jun;300;150;150;;;6;Fleet1
2041;Jul;300;150;150;;;6;Fleet1
2041;Aug;300;150;150;;;6;Fleet1
2041;Set;300;150;150;;;6;Fleet1
2041;Oct;300;150;150;;;6;Fleet1
2041;Nov;300;150;150;;;6;Fleet1
2041;Dec;300;150;150;;;6;Fleet1
2042;Jan;300;150;150;;;6;Fleet1
2042;Feb;300;150;150;;;6;Fleet1
2042;Mar;300;150;150;;;6;Fleet1
2042;Apr;300;150;150;;;6;Fleet1
2042;May;300;150;150;;;6;Fleet1
2042;Jun;300;150;150;;;6;Fleet1
2042;Jul;300;150;150;;;6;Fleet1
2042;Aug;300;150;150;;;6;Fleet1
2042;Set;300;150;150;;;6;Fleet1
2042;Oct;300;150;150;;;6;Fleet1
2042;Nov;300;150;150;;;6;Fleet1
2042;Dec;300;150;150;;;6;Fleet1
2043;Jan;300;150;150;;;6;Fleet1
2043;Feb;300;150;150;;;6;Fleet1
2043;Mar;300;150;150;;;6;Fleet1
2043;Apr;300;150;150;;;6;Fleet1
2043;May;300;150;150;;;6;Fleet1
2043;Jun;300;150;150;;;6;Fleet1
2043;Jul;300;150;150;;;6;Fleet1
2043;Aug;300;150;150;;;6;Fleet1
2043;Set;300;150;150;;;6;Fleet1
2043;Oct;300;150;150;;;6;Fleet1
2043;Nov;300;150;150;;;6;Fleet1
2043;Dec;300;150;150;;;6;Fleet1
2044;Jan;300;150;150;;;6;Fleet1
2044;Feb;300;150;150;;;6;Fleet1
2044;Mar;300;150;150;;;6;Fleet1
2044;Apr;300;150;150;;;6;Fleet1
2044;May;300;150;150;;;6;Fleet1
2044;Jun;300;150;150;;;6;Fleet1
2044;Jul;300;150;150;;;6;Fleet1
2044;Aug;300;150;150;;;6;Fleet1
2044;Set;300;150;150;;;6;Fleet1
2044;Oct;300;150;150;;;6;Fleet1
2044;Nov;300;150;150;;;6;Fleet1
2044;Dec;300;150;150;;;6;Fleet1
2045;Jan;300;150;150;;;6;Fleet1
2045;Feb;300;150;150;;;6;Fleet1
2045;Mar;300;150;150;;;6;Fleet1
2045;Apr;300;150;150;;;6;Fleet1
2045;May;300;150;150;;;6;Fleet1
2045;Jun;300;150;150;;;6;Fleet1
2045;Jul;300;150;150;;;6;Fleet1
2045;Aug;300;150;150;;;6;Fleet1
2045;Set;300;150;150;;;6;Fleet1
2045;Oct;300;150;150;;;6;Fleet1
2045;Nov;300;150;150;;;6;Fleet1
2045;Dec;300;150;150;;;6;Fleet1
2046;Jan;300;150;150;;;6;Fleet1
2046;Feb;300;150;150;;;6;Fleet1
2046;Mar;300;150;150;;;6;Fleet1
2046;Apr;300;150;150;;;6;Fleet1
2046;May;300;150;150;;;6;Fleet1
2046;Jun;300;150;150;;;6;Fleet1
2046;Jul;300;150;150;;;6;Fleet1
2046;Aug;300;150;150;;;6;Fleet1
2046;Set;300;150;150;;;6;Fleet1
2046;Oct;300;150;150;;;6;Fleet1
2046;Nov;300;150;150;;;6;Fleet1
2046;Dec;300;150;150;;;6;Fleet1
2047;Jan;300;150;150;;;6;Fleet1
2047;Feb;300;150;150;;;6;Fleet1
2047;Mar;300;150;150;;;6;Fleet1
2047;Apr;300;150;150;;;6;Fleet1
2047;May;300;150;150;;;6;Fleet1
2047;Jun;300;150;150;;;6;Fleet1
2047;Jul;300;150;150;;;6;Fleet1
2047;Aug;300;150;150;;;6;Fleet1
2047;Set;300;150;150;;;6;Fleet1
2047;Oct;300;150;150;;;6;Fleet1
2047;Nov;300;150;150;;;6;Fleet1
2047;Dec;300;150;150;;;6;Fleet1
2048;Jan;300;150;150;;;6;Fleet1
2048;Feb;300;150;150;;;6;Fleet1
2048;Mar;300;150;150;;;6;Fleet1
2048;Apr;300;150;150;;;6;Fleet1
2048;May;300;150;150;;;6;Fleet1
2048;Jun;300;150;150;;;6;Fleet1
2048;Jul;300;150;150;;;6;Fleet1
2048;Aug;300;150;150;;;6;Fleet1
2048;Set;300;150;150;;;6;Fleet1
2048;Oct;300;150;150;;;6;Fleet1
2048;Nov;300;150;150;;;6;Fleet1
2048;Dec;300;150;150;;;6;Fleet1
2049;Jan;300;150;150;;;6;Fleet1
2049;Feb;300;150;150;;;6;Fleet1
2049;Mar;300;150;150;;;6;Fleet1
2049;Apr;300;150;150;;;6;Fleet1
2049;May;300;150;150;;;6;Fleet1
2049;Jun;300;150;150;;;6;Fleet1
2049;Jul;300;150;150;;;6;Fleet1
2049;Aug;300;150;150;;;6;Fleet1
2049;Set;300;150;150;;;6;Fleet1
2049;Oct;300;150;150;;;6;Fleet1
2049;Nov;300;150;150;;;6;Fleet1
2049;Dec;300;150;150;;;6;Fleet1
2050;Jan;300;150;150;;;6;Fleet1
2050;Feb;300;150;150;;;6;Fleet1
2050;Mar;300;150;150;;;6;Fleet1
2050;Apr;300;150;150;;;6;Fleet1
2050;May;300;150;150;;;6;Fleet1
2050;Jun;300;150;150;;;6;Fleet1
2050;Jul;300;150;150;;;6;Fleet1
2050;Aug;300;150;150;;;6;Fleet1
2050;Set;300;150;150;;;6;Fleet1
2050;Oct;300;150;150;;;6;Fleet1
2050;Nov;300;150;150;;;6;Fleet1
2050;Dec;300;150;150;;;6;Fleet1
2051;Jan;300;150;150;;;6;Fleet1
2051;Feb;300;150;150;;;6;Fleet1
2051;Mar;300;150;150;;;6;Fleet1
2051;Apr;300;150;150;;;6;Fleet1
2051;May;300;150;150;;;6;Fleet1
2051;Jun;300;150;150;;;6;Fleet1
2051;Jul;300;150;150;;;6;Fleet1
2051;Aug;300;150;150;;;6;Fleet1
2051;Set;300;150;150;;;6;Fleet1
2051;Oct;300;150;150;;;6;Fleet1
2051;Nov;300;150;150;;;6;Fleet1
2051;Dec;300;150;150;;;6;Fleet1
2052;Jan;300;150;150;;;6;Fleet1
2052;Feb;300;150;150;;;6;Fleet1
2052;Mar;300;150;150;;;6;Fleet1
2052;Apr;300;150;150;;;6;Fleet1
2052;May;300;150;150;;;6;Fleet1
2052;Jun;300;150;150;;;6;Fleet1
2052;Jul;300;150;150;;;6;Fleet1
2052;Aug;300;150;150;;;6;Fleet1
2052;Set;300;150;150;;;6;Fleet1
2052;Oct;300;150;150;;;6;Fleet1
2052;Nov;300;150;150;;;6;Fleet1
2052;Dec;300;150;150;;;6;Fleet1
2053;Jan;300;150;150;;;6;Fleet1
2053;Feb;300;150;150;;;6;Fleet1
2053;Mar;300;150;150;;;6;Fleet1
2053;Apr;300;150;150;;;6;Fleet1
2053;May;300;150;150;;;6;Fleet1
2053;Jun;300;150;150;;;6;Fleet1
2053;Jul;300;150;150;;;6;Fleet1
2053;Aug;300;150;150;;;6;Fleet1
2053;Set;300;150;150;;;6;Fleet1
2053;Oct;300;150;150;;;6;Fleet1
2053;Nov;300;150;150;;;6;Fleet1
2053;Dec;300;150;150;;;6;Fleet1
2054;Jan;300;150;150;;;6;Fleet1
